Просмотр подписочного контента по экранам (разделам) внутри VK Video;;;;;;;;"Агрегация (subscriptions - только контент из подписок, total - просмотр любого контента)";;;
;;;;;;;;;;;
Столбец;Данные;;platform;type;screen; tvt ;;;;;
platform;Платформа (SAA - мобильное приложение);;SAA VK Video;subscriptions;Уведомления; 97260 985 ;;;;;
type;;;SAA VK Video;subscriptions;Смотреть позже; 232906 745 ;;;;;
screen;Экран просмотра;;SAA VK Video;subscriptions;Скачанное; 1443098 845 ;;;;;
tvt;"total view time (общее время просмотра), сек";;SAA VK Video;subscriptions;Подписки; 1683703 760 ;;;;;
;;;SAA VK Video;subscriptions;Остальное; 1698754 582 ;;;;;
;;;SAA VK Video;subscriptions;История; 2023142 104 ;;;;;
;;;SAA VK Video;subscriptions;Поиск; 2564218 727 ;;;;;
;;;SAA VK Video;subscriptions;Сообщества; 2779546 989 ;;;;;
;;;SAA VK Video;subscriptions;Главная; 6916794 099 ;;;;;
;;;SAA VK Video;subscriptions;Симилары; 7107806 695 ;;;;;
;;;SAA VK Video;total;Уведомления; 100370 745 ;;;;;
;;;SAA VK Video;total;Смотреть позже; 987283 039 ;;;;;
;;;SAA VK Video;total;Подписки; 1740917 650 ;;;;;
;;;SAA VK Video;total;Остальное; 4523377 279 ;;;;;
;;;SAA VK Video;total;Сообщества; 5939061 045 ;;;;;
;;;SAA VK Video;total;Скачанное; 8863206 781 ;;;;;
;;;SAA VK Video;total;История; 12358231 005 ;;;;;
;;;SAA VK Video;total;Поиск; 26240438 490 ;;;;;
;;;SAA VK Video;total;Главная; 38960540 853 ;;;;;
;;;SAA VK Video;total;Симилары; 43134178 731 ;;;;;
;;;TV VK Video;subscriptions;Смотреть позже; 160306 586 ;;;;;
;;;TV VK Video;subscriptions;История; 426747 261 ;;;;;
;;;TV VK Video;subscriptions;Подписки; 972791 589 ;;;;;
;;;TV VK Video;subscriptions;Поиск; 1247129 992 ;;;;;
;;;TV VK Video;subscriptions;Сообщества; 1759101 648 ;;;;;
;;;TV VK Video;subscriptions;Остальное; 1835459 672 ;;;;;
;;;TV VK Video;subscriptions;Симилары; 2726480 240 ;;;;;
;;;TV VK Video;subscriptions;Главная; 2778729 433 ;;;;;
;;;TV VK Video;total;Смотреть позже; 713469 650 ;;;;;
;;;TV VK Video;total;Подписки; 978364 665 ;;;;;
;;;TV VK Video;total;Сообщества; 2901484 998 ;;;;;
;;;TV VK Video;total;История; 3506029 095 ;;;;;
;;;TV VK Video;total;Остальное; 8767724 938 ;;;;;
;;;TV VK Video;total;Поиск; 19998837 131 ;;;;;
;;;TV VK Video;total;Главная; 22132010 976 ;;;;;
;;;TV VK Video;total;Симилары; 28557198 123 ;;;;;
;;;WEB VK Video;subscriptions;Смотреть позже; 32248 422 ;;;;;
;;;WEB VK Video;subscriptions;История; 140154 859 ;;;;;
;;;WEB VK Video;subscriptions;Подписки; 197881 508 ;;;;;
;;;WEB VK Video;subscriptions;Поиск; 257438 422 ;;;;;
;;;WEB VK Video;subscriptions;Остальное; 422127 969 ;;;;;
;;;WEB VK Video;subscriptions;Симилары; 580100 342 ;;;;;
;;;WEB VK Video;subscriptions;Главная; 704052 826 ;;;;;
;;;WEB VK Video;subscriptions;Сообщества; 758806 727 ;;;;;
;;;WEB VK Video;total;Смотреть позже; 119067 614 ;;;;;
;;;WEB VK Video;total;Подписки; 197962 467 ;;;;;
;;;WEB VK Video;total;История; 965826 365 ;;;;;
;;;WEB VK Video;total;Остальное; 1037577 568 ;;;;;
;;;WEB VK Video;total;Сообщества; 1342920 550 ;;;;;
;;;WEB VK Video;total;Поиск; 3420702 142 ;;;;;
;;;WEB VK Video;total;Главная; 3593086 170 ;;;;;
;;;WEB VK Video;total;Симилары; 5659482 315 ;;;;;
